month,starting_cash,operating_receipts,personnel,marketing,other_opex,capex,debt_service,financing_inflows,mrr,revenue_recognized,cash_cogs,operating_taxes,other_net_cash_movements,net_mrr_growth,origin
2026-01,300000,20000,40000,5000,0,0,0,0,20000,20000,0,0,0,0.03,declared
2026-02,,20000,40000,5000,0,0,0,0,,20600,0,0,0,0.03,declared
2026-03,,20000,40000,5000,0,0,0,0,,21218,0,0,0,0.03,declared
2026-04,,20000,40000,5000,0,0,0,0,,21854.54,0,0,0,0.03,declared
2026-05,,20000,40000,5000,0,0,0,0,,22510.18,0,0,0,0.03,declared
2026-06,,20000,40000,5000,0,0,0,0,,23185.49,0,0,0,0.03,declared
2026-07,,20000,40000,5000,0,0,0,0,,23881.05,0,0,0,0.03,declared
2026-08,,20000,40000,5000,0,0,0,0,,24597.48,0,0,0,0.03,declared
2026-09,,20000,40000,5000,0,0,0,0,,25335.40,0,0,0,0.03,declared
2026-10,,20000,40000,5000,0,0,0,0,,26095.46,0,0,0,0.03,declared
2026-11,,20000,40000,5000,0,0,0,0,,26878.32,0,0,0,0.03,declared
2026-12,,20000,40000,5000,0,0,0,0,,27684.67,0,0,0,0.03,declared

